date,QRcode,experiment_number,light,phone_name,image_name,black_rectangle_corners,height_phone_b,height_phone_t,height_phone,circles_info,angle_multiplier_info,savingID
2023:07:25 10:00:59,705548,1,101,Huawei P60 pro,IMG_20230725_100059.jpg,"{'lt': [610, 720], 'rt': [2380, 725], 'lb': [540, 3605], 'rb': [2500, 3585]}",230.230361,254.95661,242.593485,"{'big_circle_centers': [[424, 392, 354], [410, 1078, 324], [422, 1786, 335], [1158, 366, 329], [1164, 1084, 316], [1150, 1788, 332]], 'small_circle_centers': [[440, 448, 291], [448, 1098, 291], [438, 1774, 285], [1150, 432, 267], [1136, 1108, 279], [1122, 1778, 287]]}","Normal, x angle multiplier:-7.2, y angle multiplier:0.6",73
2023:07:25 10:01:15,705548,1,101,Samsung S22,20230725_100114.jpg,"{'lt': [610, 640], 'rt': [2355, 620], 'lb': [605, 3470], 'rb': [2500, 3415]}",212.648712,231.010042,221.829377,"{'big_circle_centers': [[424, 398, 333], [414, 1076, 339], [418, 1772, 348], [1136, 394, 333], [1148, 1072, 315], [1144, 1782, 335]], 'small_circle_centers': [[438, 456, 276], [432, 1092, 271], [444, 1756, 275], [1128, 436, 264], [1118, 1094, 274], [1112, 1744, 288]]}","Normal, x angle multiplier:-4.2, y angle multiplier:-1.2",289
2023:07:25 10:01:24,705548,1,101,Honor Magic Vs,IMG_20230725_100124.jpg,"{'lt': [570, 690], 'rt': [2635, 655], 'lb': [555, 3940], 'rb': [2715, 3955]}",190.68568,199.43431,195.059995,"{'big_circle_centers': [[492, 470, 406], [456, 1238, 363], [484, 2038, 370], [1300, 454, 387], [1320, 1222, 359], [1298, 2012, 384]], 'small_circle_centers': [[502, 502, 325], [494, 1232, 317], [506, 1972, 320], [1280, 490, 322], [1294, 1226, 313], [1278, 1966, 320]]}","Normal, x angle multiplier:2.3, y angle multiplier:0.4",1
2023:07:25 10:02:01,705548,1,101,Iphone 13pro,IMG_1910.jpg,"{'lt': [525, 670], 'rt': [2475, 655], 'lb': [520, 3685], 'rb': [2485, 3710]}",218.503945,220.19605,219.349997,"{'big_circle_centers': [[432, 402, 354], [444, 1142, 362], [442, 1878, 348], [1190, 392, 357], [1206, 1132, 335], [1192, 1876, 358]], 'small_circle_centers': [[466, 436, 289], [468, 1126, 290], [472, 1834, 294], [1198, 432, 290], [1188, 1124, 298], [1184, 1812, 302]]}","Normal, x angle multiplier:2.9, y angle multiplier:7.0",145
2023:07:25 10:02:08,705548,1,101,Redmi Note 11 Pro,IMG_20230725_100208.jpg,"{'lt': [670, 860], 'rt': [2565, 875], 'lb': [645, 3755], 'rb': [2520, 3800]}",238.860818,236.40051,237.630664,"{'big_circle_centers': [[432, 394, 359], [422, 1106, 326], [430, 1824, 357], [1184, 380, 336], [1178, 1104, 335], [1192, 1840, 340]], 'small_circle_centers': [[458, 418, 292], [450, 1082, 296], [450, 1764, 281], [1160, 408, 290], [1164, 1092, 284], [1148, 1752, 293]]}","Normal, x angle multiplier:6.6, y angle multiplier:-0.8",217
2023:07:25 10:03:34,705548,1,101,Iphone 13pro,IMG_1911.jpg,"{'lt': [575, 590], 'rt': [2485, 565], 'lb': [455, 3600], 'rb': [2505, 3695]}",209.236425,224.794881,217.015653,"{'big_circle_centers': [[466, 408, 366], [456, 1192, 369], [452, 1948, 380], [1248, 434, 370], [1254, 1172, 352], [1260, 1954, 371]], 'small_circle_centers': [[510, 496, 308], [500, 1198, 301], [492, 1922, 310], [1254, 478, 295], [1228, 1190, 302], [1242, 1910, 322]]}","Normal, x angle multiplier:-4.3, y angle multiplier:9.0",146
2023:07:25 10:03:48,705548,1,101,Huawei P60 pro,IMG_20230725_100348.jpg,"{'lt': [470, 605], 'rt': [2405, 620], 'lb': [360, 3780], 'rb': [2530, 3760]}",207.951997,233.210047,220.581022,"{'big_circle_centers': [[464, 416, 382], [468, 1204, 358], [474, 1998, 394], [1292, 398, 373], [1300, 1202, 357], [1292, 1992, 374]], 'small_circle_centers': [[500, 496, 309], [502, 1218, 320], [498, 1978, 326], [1268, 496, 306], [1280, 1226, 314], [1268, 1978, 312]]}","Normal, x angle multiplier:-9.1, y angle multiplier:2.6",74
2023:07:25 10:03:51,705548,1,101,Samsung S22,20230725_100350.jpg,"{'lt': [630, 825], 'rt': [2230, 805], 'lb': [545, 3400], 'rb': [2315, 3425]}",227.739432,251.942193,239.840812,"{'big_circle_centers': [[390, 364, 301], [378, 980, 284], [382, 1610, 313], [1046, 334, 290], [1044, 972, 292], [1038, 1608, 315]], 'small_circle_centers': [[418, 412, 248], [408, 994, 248], [410, 1600, 247], [1040, 390, 244], [1034, 994, 248], [1034, 1600, 253]]}","Normal, x angle multiplier:-6.1, y angle multiplier:6.6",290
2023:07:25 10:04:03,705548,1,101,Redmi Note 11 Pro,IMG_20230725_100403.jpg,"{'lt': [535, 695], 'rt': [2440, 660], 'lb': [530, 3640], 'rb': [2475, 3670]}",230.303198,235.127248,232.715223,"{'big_circle_centers': [[436, 410, 352], [420, 1120, 341], [424, 1838, 352], [1196, 392, 328], [1170, 1124, 341], [1162, 1856, 337]], 'small_circle_centers': [[462, 432, 288], [462, 1120, 286], [460, 1806, 294], [1170, 452, 298], [1178, 1120, 278], [1162, 1798, 302]]}","Normal, x angle multiplier:0.6, y angle multiplier:8.6",218
2023:07:25 10:04:31,705548,1,000,Iphone 13pro,IMG_1912.jpg,"{'lt': [565, 800], 'rt': [2420, 750], 'lb': [530, 3710], 'rb': [2475, 3740]}",220.742381,231.395742,226.069062,"{'big_circle_centers': [[414, 402, 338], [404, 1088, 324], [416, 1788, 333], [1152, 406, 344], [1172, 1082, 317], [1168, 1800, 338]], 'small_circle_centers': [[446, 420, 282], [456, 1088, 280], [448, 1756, 277], [1138, 438, 292], [1126, 1082, 282], [1148, 1748, 281]]}","Normal, x angle multiplier:1.7, y angle multiplier:3.6",147
